id,board,tier,section_code,section_key,unit_key,subtopic_code,title,status,kahoot_url,worksheet_payhip_url,section_bundle_payhip_url,unit_bundle_payhip_url,bundle_url,past_paper_analysis_url,variant_practice_url,presale_release_date,presale_early_bird_end_date,presale_notes,notes
cie0580:algebra-c2:c2-01-introduction-to-algebra,cie0580,Core,C2,algebra-c2,algebra,C2-01,introduction to algebra,presale,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c2-01,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c2-01,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2,https://payhip.com/25maths?src=cie0580-unit-algebra,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2,,,2026-04-30,2026-03-31,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",
cie0580:algebra-c2:c2-02-algebraic-manipulation,cie0580,Core,C2,algebra-c2,algebra,C2-02,algebraic manipulation,presale,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c2-02,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c2-02,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2,https://payhip.com/25maths?src=cie0580-unit-algebra,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2,,,2026-04-30,2026-03-31,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",
cie0580:algebra-c2:c2-04-indices-ii,cie0580,Core,C2,algebra-c2,algebra,C2-04,indices ii,presale,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c2-04,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c2-04,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2,https://payhip.com/25maths?src=cie0580-unit-algebra,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2,,,2026-04-30,2026-03-31,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",
cie0580:algebra-c2:c2-05-equations,cie0580,Core,C2,algebra-c2,algebra,C2-05,equations,presale,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c2-05,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c2-05,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2,https://payhip.com/25maths?src=cie0580-unit-algebra,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2,,,2026-04-30,2026-03-31,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",
cie0580:algebra-c2:c2-06-inequalities,cie0580,Core,C2,algebra-c2,algebra,C2-06,inequalities,presale,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c2-06,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c2-06,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2,https://payhip.com/25maths?src=cie0580-unit-algebra,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2,,,2026-04-30,2026-03-31,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",
cie0580:algebra-c2:c2-07-sequences,cie0580,Core,C2,algebra-c2,algebra,C2-07,sequences,presale,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c2-07,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c2-07,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2,https://payhip.com/25maths?src=cie0580-unit-algebra,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2,,,2026-04-30,2026-03-31,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",
cie0580:algebra-c2:c2-09-graphs-in-practical-situations,cie0580,Core,C2,algebra-c2,algebra,C2-09,graphs in practical situations,presale,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c2-09,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c2-09,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2,https://payhip.com/25maths?src=cie0580-unit-algebra,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2,,,2026-04-30,2026-03-31,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",
cie0580:algebra-c2:c2-10-graphs-of-functions,cie0580,Core,C2,algebra-c2,algebra,C2-10,graphs of functions,presale,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c2-10,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c2-10,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2,https://payhip.com/25maths?src=cie0580-unit-algebra,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2,,,2026-04-30,2026-03-31,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",
cie0580:algebra-c2:c2-11-sketching-curves,cie0580,Core,C2,algebra-c2,algebra,C2-11,sketching curves,presale,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=c2-11,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=c2-11,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2,https://payhip.com/25maths?src=cie0580-unit-algebra,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=c2,,,2026-04-30,2026-03-31,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",
cie0580:algebra-e2:e2-01-introduction-to-algebra,cie0580,Extended,E2,algebra-e2,algebra,E2-01,introduction to algebra,presale,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=e2-01,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e2-01,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e2,https://payhip.com/25maths?src=cie0580-unit-algebra,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e2,,,2026-04-30,2026-03-31,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",
cie0580:algebra-e2:e2-02-algebraic-manipulation,cie0580,Extended,E2,algebra-e2,algebra,E2-02,algebraic manipulation,presale,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=e2-02,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e2-02,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e2,https://payhip.com/25maths?src=cie0580-unit-algebra,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e2,,,2026-04-30,2026-03-31,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",
cie0580:algebra-e2:e2-03-algebraic-fractions,cie0580,Extended,E2,algebra-e2,algebra,E2-03,algebraic fractions,presale,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=e2-03,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e2-03,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e2,https://payhip.com/25maths?src=cie0580-unit-algebra,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e2,,,2026-04-30,2026-03-31,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",
cie0580:algebra-e2:e2-04-indices-ii,cie0580,Extended,E2,algebra-e2,algebra,E2-04,indices ii,presale,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=e2-04,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e2-04,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e2,https://payhip.com/25maths?src=cie0580-unit-algebra,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e2,,,2026-04-30,2026-03-31,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",
cie0580:algebra-e2:e2-05-equations,cie0580,Extended,E2,algebra-e2,algebra,E2-05,equations,presale,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=e2-05,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e2-05,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e2,https://payhip.com/25maths?src=cie0580-unit-algebra,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e2,,,2026-04-30,2026-03-31,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",
cie0580:algebra-e2:e2-06-inequalities,cie0580,Extended,E2,algebra-e2,algebra,E2-06,inequalities,presale,https://create.kahoot.it/channels/25maths/igcse-maths?src=kahoot_cie0580_subtopic&asset=e2-06,https://payhip.com/25maths?src=kahoot_cie0580_l1&asset=e2-06,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e2,https://payhip.com/25maths?src=cie0580-unit-algebra,https://payhip.com/25maths?src=kahoot_cie0580_l2&asset=e2,,,2026-04-30,2026-03-31,"Includes themed past-paper bonus, free bilingual vocabulary cards, and bilingual support upgrade coupons.",
